,intcpt,slp,rsq,resid.mean,resid.med,resid.prop.pos,source
(Intercept)627,7.961755644,0.509750403,0.039379767,5.380404754,4.042759,0.747980614,Navajo Nation: Water
(Intercept)628,8.66878111,0.463613325,0.028641695,5.824528741,3.569890079,0.730210016,Navajo Nation: Water
(Intercept)629,8.439868988,0.534914203,0.025467018,6.016084886,4.123999743,0.720516963,Navajo Nation: Water
(Intercept)630,7.788683253,0.641829266,0.035167608,5.85786091,3.792086324,0.717285945,Navajo Nation: Water
(Intercept)631,8.436362847,0.486272958,0.030133109,5.734155594,3.881937048,0.751211632,Navajo Nation: Water
(Intercept)632,6.89706061,0.697586856,0.038474772,5.264575148,3.472238726,0.704361874,Navajo Nation: Water
(Intercept)633,6.916064377,0.700748543,0.057586857,5.318570358,3.838887643,0.718901454,Navajo Nation: Water
(Intercept)634,8.295962537,0.414781726,0.042316843,5.049532723,3.798136327,0.730210016,Navajo Nation: Water
(Intercept)635,7.836051149,0.488113803,0.057848449,5.078850455,3.542955485,0.720516963,Navajo Nation: Water
(Intercept)636,8.678681201,0.370308613,0.02496337,5.276309882,4.275041324,0.722132472,Navajo Nation: Water
(Intercept)637,7.477904565,0.527750235,0.053187589,4.838581562,3.528111227,0.697899838,Navajo Nation: Water
(Intercept)638,8.044590417,0.47923623,0.040779719,5.212579823,3.65605242,0.71082391,Navajo Nation: Water
(Intercept)639,7.725909923,0.484074131,0.040236242,4.927293411,3.363611564,0.691437803,Navajo Nation: Water
(Intercept)640,7.229178988,0.644963677,0.06019254,5.350660492,3.987764123,0.730210016,Navajo Nation: Water
(Intercept)641,7.970171272,0.438630862,0.03726502,5.026727392,3.941161802,0.735056543,Navajo Nation: Water
(Intercept)642,8.15131482,0.420929114,0.043132732,5.03132479,3.655045388,0.741518578,Navajo Nation: Water
(Intercept)643,8.648490433,0.513987476,0.031933717,6.139155197,4.388339418,0.760904685,Navajo Nation: Water
(Intercept)644,8.283758708,0.510423509,0.040169386,5.80557622,4.062011966,0.733441034,Navajo Nation: Water
(Intercept)645,6.761418868,0.866583923,0.091396908,6.058213241,4.055518185,0.746365105,Navajo Nation: Water
(Intercept)646,8.615567882,0.40062013,0.026748699,5.356940703,3.711362921,0.712439418,Navajo Nation: Water
(Intercept)647,8.079276674,0.526391897,0.037214078,5.554031066,3.888863287,0.723747981,Navajo Nation: Water
(Intercept)648,6.768310675,0.658166596,0.076498169,4.924378845,3.511514917,0.718901454,Navajo Nation: Water
(Intercept)649,8.825300766,0.352880787,0.023968106,5.297904791,3.818120944,0.717285945,Navajo Nation: Water
(Intercept)650,7.691590885,0.504187252,0.047819366,5.01391872,3.748664773,0.694668821,Navajo Nation: Water
(Intercept)651,8.194396045,0.552876553,0.029911763,5.714149711,3.795367496,0.705977383,Navajo Nation: Water
(Intercept)652,9.087430121,0.217778747,0.01036339,4.958805921,3.933797383,0.722132472,Navajo Nation: Water
(Intercept)653,7.714675906,0.554626542,0.057024281,5.359927153,3.693343397,0.71082391,Navajo Nation: Water
(Intercept)654,7.73447337,0.526802484,0.03843739,5.157533938,3.447391524,0.694668821,Navajo Nation: Water
(Intercept)655,8.320961981,0.439987576,0.045084956,5.323637135,4.064784714,0.731825525,Navajo Nation: Water
(Intercept)656,7.260942936,0.749163115,0.061430456,5.938650037,4.035698901,0.752827141,Navajo Nation: Water
(Intercept)657,7.621782358,0.585609264,0.049255805,5.335373346,3.418978207,0.730210016,Navajo Nation: Water
(Intercept)658,7.889122194,0.546955176,0.037249751,5.505856064,3.664311007,0.709208401,Navajo Nation: Water
(Intercept)659,7.333399305,0.570293726,0.089414189,5.018555207,3.888359191,0.712439418,Navajo Nation: Water
(Intercept)660,8.758749194,0.444481544,0.028256416,5.668719125,3.941952906,0.715670436,Navajo Nation: Water
(Intercept)661,8.78396637,0.346636412,0.021901653,5.330138739,3.762910749,0.728594507,Navajo Nation: Water
(Intercept)662,6.877833334,0.675161839,0.039358283,5.13493443,3.701255998,0.728594507,Navajo Nation: Water
(Intercept)663,8.09197402,0.484429441,0.027383335,5.42273562,3.771469547,0.730210016,Navajo Nation: Water
(Intercept)664,6.12646988,0.980955322,0.075228598,6.02376011,4.233300138,0.728594507,Navajo Nation: Water
(Intercept)665,8.05754407,0.47995431,0.035186114,5.257494753,3.945544554,0.735056543,Navajo Nation: Water
(Intercept)666,8.46729173,0.478040114,0.033673547,5.753101743,3.792240583,0.735056543,Navajo Nation: Water
(Intercept)667,7.066550941,0.757156343,0.048475912,5.772094932,3.85363948,0.736672052,Navajo Nation: Water
