,intcpt,slp,rsq,resid.mean,resid.med,resid.prop.pos,source
(Intercept)1241,3.880512549,1.030629718,0.238190805,4.087289044,2.754846235,0.672051696,Navajo Nation: Water & home dust
(Intercept)1251,4.871465321,0.839454876,0.217656326,3.787649971,2.695567176,0.670436187,Navajo Nation: Water & home dust
(Intercept)1261,4.171491358,0.970560937,0.250628302,3.972752787,2.879219773,0.668820679,Navajo Nation: Water & home dust
(Intercept)1271,4.016747237,0.974011149,0.264289541,3.841300518,2.351582523,0.668820679,Navajo Nation: Water & home dust
(Intercept)1281,4.343644695,1.02144456,0.241133866,4.488413609,3.138990626,0.680129241,Navajo Nation: Water & home dust
(Intercept)1291,6.615221615,0.592990045,0.122410962,3.867560238,2.716135222,0.65266559,Navajo Nation: Water & home dust
(Intercept)1301,3.362993568,1.192708366,0.244528123,4.663938,2.770335356,0.670436187,Navajo Nation: Water & home dust
(Intercept)1311,3.078773948,1.184721942,0.269109118,4.325803263,3.125126342,0.665589661,Navajo Nation: Water & home dust
(Intercept)1321,6.347876644,0.689630223,0.180802591,4.252618194,3.16575662,0.688206785,Navajo Nation: Water & home dust
(Intercept)1331,6.433647336,0.690491149,0.163138658,4.344200864,3.135951205,0.680129241,Navajo Nation: Water & home dust
(Intercept)1341,4.809424232,0.834963086,0.224864246,3.695285501,2.630938679,0.662358643,Navajo Nation: Water & home dust
(Intercept)1351,5.014244623,0.875231118,0.240161223,4.171949161,2.989201583,0.670436187,Navajo Nation: Water & home dust
(Intercept)1361,2.618123983,1.223014889,0.300685465,4.123663072,3.052312542,0.668820679,Navajo Nation: Water & home dust
(Intercept)1371,7.533864554,0.43608209,0.080143163,3.726941795,2.580871819,0.660743134,Navajo Nation: Water & home dust
(Intercept)1381,3.351495343,1.071263623,0.28996987,3.832585058,2.684742551,0.660743134,Navajo Nation: Water & home dust
(Intercept)1391,3.06711597,1.193639744,0.228371531,4.37434799,2.931007978,0.670436187,Navajo Nation: Water & home dust
(Intercept)1401,6.358426791,0.638794139,0.165841037,3.919981782,2.996932977,0.655896607,Navajo Nation: Water & home dust
(Intercept)1411,2.136421625,1.294795573,0.332346303,4.126541031,3.117937939,0.691437803,Navajo Nation: Water & home dust
(Intercept)1421,4.491292795,0.935966564,0.273887959,4.059012956,2.873085201,0.660743134,Navajo Nation: Water & home dust
(Intercept)1431,6.548066381,0.55631036,0.152056476,3.552786116,2.878948501,0.649434572,Navajo Nation: Water & home dust
(Intercept)1441,4.013779295,0.990254851,0.203342428,3.947991299,2.478644208,0.63812601,Navajo Nation: Water & home dust
(Intercept)1451,8.084087255,0.33324064,0.058496798,3.582897742,2.846394428,0.657512116,Navajo Nation: Water & home dust
(Intercept)1461,4.370846825,0.97736521,0.253657905,4.21804285,3.101758788,0.668820679,Navajo Nation: Water & home dust
(Intercept)1471,5.936161253,0.700047171,0.166619328,3.911226012,2.578883185,0.66720517,Navajo Nation: Water & home dust
(Intercept)1481,8.330185616,0.309659624,0.037251425,3.669804306,2.515825932,0.662358643,Navajo Nation: Water & home dust
(Intercept)1491,2.93653027,1.242500711,0.303732005,4.573615137,2.830803907,0.65266559,Navajo Nation: Water & home dust
(Intercept)1501,3.334682007,1.154713283,0.281487828,4.379127493,3.086689609,0.688206785,Navajo Nation: Water & home dust
(Intercept)1511,4.402029612,0.94702275,0.176175559,4.044388372,2.788821257,0.654281099,Navajo Nation: Water & home dust
(Intercept)1521,5.760851023,0.739978115,0.192075786,4.005483414,2.921264691,0.69628433,Navajo Nation: Water & home dust
(Intercept)1531,0.901426629,1.593575638,0.278201862,4.908564127,2.76748856,0.647819063,Navajo Nation: Water & home dust
(Intercept)1541,3.381581949,1.177218185,0.252378386,4.577954559,3.082971736,0.663974152,Navajo Nation: Water & home dust
(Intercept)1551,7.129724789,0.519609742,0.102866691,3.886684315,2.821104383,0.66720517,Navajo Nation: Water & home dust
(Intercept)1561,5.903254907,0.65939283,0.159584274,3.603868481,2.480100792,0.649434572,Navajo Nation: Water & home dust
(Intercept)1571,4.63861168,0.878596559,0.23222227,3.819035789,2.614698281,0.65266559,Navajo Nation: Water & home dust
(Intercept)1581,7.005069313,0.545901722,0.110929681,3.939521939,3.001727174,0.654281099,Navajo Nation: Water & home dust
(Intercept)1591,5.780383538,0.759297072,0.190581302,4.155435225,2.978173824,0.665589661,Navajo Nation: Water & home dust
(Intercept)1601,5.333807952,0.731300887,0.230268256,3.519861717,2.900462039,0.680129241,Navajo Nation: Water & home dust
(Intercept)1611,4.461818087,0.884755385,0.216448566,3.68381948,2.799582298,0.672051696,Navajo Nation: Water & home dust
(Intercept)1621,3.784957473,1.099167664,0.241809396,4.454423067,3.03766782,0.684975767,Navajo Nation: Water & home dust
(Intercept)1631,5.243240944,0.722086936,0.222005227,3.367092751,2.389217432,0.65266559,Navajo Nation: Water & home dust
(Intercept)1641,5.542381336,0.693100812,0.208257467,3.470552292,2.210816615,0.649434572,Navajo Nation: Water & home dust
(Intercept)1651,4.937970705,0.84424685,0.254214903,3.886505235,2.761999807,0.665589661,Navajo Nation: Water & home dust
(Intercept)1661,6.569759725,0.567823338,0.143872422,3.652201796,2.975327083,0.644588045,Navajo Nation: Water & home dust
(Intercept)1671,8.067070851,0.326132403,0.049274891,3.517894734,2.181273151,0.663974152,Navajo Nation: Water & home dust
