,Intercept,Slope,vector_MCresSE,vector_rsquare,scen
87,9.612384778,0.722791795,20.21509666,0.0772954,UNM water only
88,7.756736533,1.049326609,27.01911305,0.124345643,UNM water only
89,8.352438312,0.991902384,24.43422048,0.101704795,UNM water only
90,6.917875139,1.202010433,27.83549786,0.146132561,UNM water only
91,8.651550964,0.931867796,23.83371173,0.095936516,UNM water only
92,8.059100514,1.064099172,27.74863922,0.113114495,UNM water only
93,9.030851642,0.900982412,24.28180558,0.095461519,UNM water only
94,8.214798283,1.024464927,26.31518127,0.108124714,UNM water only
95,9.890614472,0.755728044,21.88306144,0.079684169,UNM water only
96,8.228464181,0.996219087,29.07003528,0.107377639,UNM water only
97,7.66078206,1.12676109,27.7237978,0.118765285,UNM water only
98,9.576027995,0.825141437,24.13068903,0.082180263,UNM water only
99,9.725117818,0.791576963,24.56970483,0.07853406,UNM water only
100,6.75839739,1.192144069,28.16781306,0.138911881,UNM water only
101,7.980400694,1.070911151,26.55274647,0.106943431,UNM water only
102,4.438783812,1.55526512,28.38185291,0.177695954,UNM water only
103,7.908618423,1.086478462,27.75103928,0.101868423,UNM water only
104,9.173351481,0.900140228,26.29134884,0.090901847,UNM water only
105,8.722280952,0.928356213,25.51954491,0.093943873,UNM water only
106,8.630833924,0.927302258,26.35079358,0.087421049,UNM water only
107,9.198100332,0.894666962,24.22009551,0.105283514,UNM water only
108,10.51858993,0.692743248,22.04387391,0.063383346,UNM water only
109,7.408093023,1.135641757,26.64550446,0.127446374,UNM water only
110,9.768129329,0.779623921,24.31521813,0.078447786,UNM water only
111,9.401078649,0.831510294,23.51606962,0.081541061,UNM water only
112,8.025844534,1.07295489,27.56136815,0.1114941,UNM water only
113,9.274716718,0.842782711,24.4495453,0.101258972,UNM water only
114,7.734593389,1.06221237,25.90007482,0.106888756,UNM water only
115,9.144229171,0.885064702,25.08341942,0.091615908,UNM water only
116,10.00514102,0.750825389,23.38519992,0.081145579,UNM water only
117,8.341931041,0.87573209,21.34358218,0.113198525,UNM water only
118,7.863429997,1.095057968,28.22509565,0.130692515,UNM water only
119,8.870209367,0.936722539,24.72910347,0.09737236,UNM water only
120,7.781845324,1.043754304,25.11451487,0.128148813,UNM water only
121,10.1009933,0.702178969,22.09367736,0.070077296,UNM water only
122,9.394362832,0.86623579,23.66113496,0.085631657,UNM water only
123,10.5691856,0.637168657,21.27896686,0.062537968,UNM water only
124,8.772203258,0.901937741,24.53445176,0.101241002,UNM water only
125,5.301654823,1.433166959,28.99788737,0.144454375,UNM water only
126,11.88161467,0.408925544,17.6155716,0.039300995,UNM water only
127,10.30867331,0.666280784,20.84315662,0.064997759,UNM water only
128,8.504306406,0.994640286,26.82538386,0.101002721,UNM water only
129,8.730652906,0.961656451,25.04941896,0.11212368,UNM water only
130,3.909159671,1.700813218,33.96668382,0.172784677,UNM water only
131,7.090207698,1.201887549,26.81947755,0.126837752,UNM water only
132,8.936348139,0.972393646,26.90699589,0.095835593,UNM water only
133,9.594077969,0.766162215,23.00437563,0.078403883,UNM water only
134,10.9434367,0.57432608,20.74666679,0.062452997,UNM water only
135,9.251203428,0.845484124,25.29657906,0.084014195,UNM water only
136,9.603809517,0.797763851,22.78095282,0.088197873,UNM water only
137,6.730270912,1.251953888,28.52715628,0.127552534,UNM water only
138,10.17827204,0.747248368,22.91509728,0.083992725,UNM water only
139,10.59830279,0.624030738,21.24978704,0.061957722,UNM water only
140,8.501095812,0.983608402,26.69178883,0.099603858,UNM water only
141,10.15985204,0.787252306,25.16688347,0.070347996,UNM water only
142,8.963522972,0.893866779,24.19347472,0.09592554,UNM water only
143,11.37173379,0.603003162,20.16619968,0.05844705,UNM water only
144,6.454569038,1.246762253,28.54773556,0.115217237,UNM water only
145,9.976562708,0.802350358,23.8552005,0.087026516,UNM water only
146,5.542769469,1.382216641,30.19343564,0.15619509,UNM water only
147,7.933017397,1.046603224,26.02812117,0.11178284,UNM water only
148,8.053079157,1.005423343,25.44891559,0.119589135,UNM water only
149,7.570717947,1.069047795,25.88755695,0.115437751,UNM water only
150,9.789487857,0.774104691,21.68902733,0.086854105,UNM water only
151,10.25211413,0.760234761,23.63440857,0.073810453,UNM water only
152,8.715696727,0.904062517,22.83250638,0.100759005,UNM water only
153,9.723617779,0.839878326,25.72680324,0.086318513,UNM water only
154,8.87979052,0.920853168,23.74236013,0.095913645,UNM water only
155,9.417526137,0.818788901,22.77397575,0.092921787,UNM water only
156,8.386636646,1.023980539,26.36124365,0.113691568,UNM water only
157,7.973500368,1.028799071,26.30535254,0.114428857,UNM water only
158,10.14720956,0.751231347,24.89751463,0.068579848,UNM water only
159,7.562718397,1.125338415,27.10811114,0.12707627,UNM water only
160,11.17334419,0.531822506,19.16322033,0.055511632,UNM water only
161,8.412873384,0.986791477,24.28151545,0.106535688,UNM water only
162,7.433479319,1.136915385,26.93221749,0.133956444,UNM water only
163,11.14766235,0.599635973,21.85915891,0.059180166,UNM water only
164,7.904001612,1.059321308,30.01801595,0.099813995,UNM water only
165,9.973250624,0.719407658,20.3272608,0.083317732,UNM water only
166,9.409293239,0.886008013,23.80032995,0.087204604,UNM water only
167,5.319846886,1.466581239,29.64749582,0.165113761,UNM water only
168,6.727407179,1.255069394,30.48218275,0.133163549,UNM water only
169,9.379729544,0.824415251,22.97616882,0.089600979,UNM water only
170,4.72009018,1.496513155,31.27365817,0.182382172,UNM water only
171,8.753428752,0.950742204,24.80949814,0.092103857,UNM water only
172,8.721696875,0.975562914,25.16548906,0.095648079,UNM water only
173,8.319611432,1.034160372,27.28757043,0.108149165,UNM water only
174,11.59927227,0.486366469,20.58247756,0.040992514,UNM water only
175,7.51094586,1.086096225,27.93854071,0.126877905,UNM water only
176,11.09019039,0.581960981,21.20736212,0.057049753,UNM water only
177,7.425350551,1.120104747,29.41747185,0.115079875,UNM water only
178,6.512232313,1.227761017,27.76916641,0.142527936,UNM water only
179,8.502292841,1.012112235,25.90036334,0.108338449,UNM water only
180,9.935037659,0.742713328,23.21841809,0.077665978,UNM water only
181,8.453005959,0.992617351,24.97526931,0.101714455,UNM water only
182,7.463427251,1.130503656,28.13830513,0.123604884,UNM water only
183,9.293681952,0.844139516,24.17721732,0.081972042,UNM water only
184,9.780232956,0.758220127,22.54810346,0.079462409,UNM water only
185,9.464839631,0.880277575,24.65412362,0.091467679,UNM water only
186,7.947177432,1.057361518,25.03948682,0.123759811,UNM water only
187,10.99679464,0.627234871,22.34003733,0.057673476,UNM water only
188,10.50867468,0.701202062,22.30969753,0.083961749,UNM water only
189,9.591234113,0.781657233,23.63804863,0.081603708,UNM water only
190,6.703128204,1.152923597,27.45510124,0.13352992,UNM water only
191,9.832390775,0.845970154,23.59224288,0.089001019,UNM water only
192,8.867964121,0.881457914,23.54237116,0.110819594,UNM water only
193,9.175964858,0.898076693,24.8591293,0.097533647,UNM water only
194,9.562085498,0.813242534,22.28828931,0.084414009,UNM water only
195,9.992694127,0.773742578,24.45134245,0.073829017,UNM water only
196,7.203629291,1.146339569,25.79015074,0.126295913,UNM water only
197,7.200398079,1.176421681,28.73764247,0.119468183,UNM water only
198,7.431123352,1.108153439,26.02882663,0.122732977,UNM water only
199,8.773803171,0.898858045,23.69726438,0.098970913,UNM water only
200,9.288080159,0.865416287,23.57848967,0.0873974,UNM water only
201,11.49442641,0.564443508,20.89728718,0.054587493,UNM water only
202,9.207961518,0.849103947,22.86201639,0.091026848,UNM water only
203,9.430718897,0.818798842,24.3711511,0.076948821,UNM water only
204,10.82415846,0.639971228,23.14760395,0.061514825,UNM water only
205,9.884268227,0.759443505,22.61836502,0.072964816,UNM water only
206,9.68990567,0.749143147,22.0283615,0.081748515,UNM water only
207,7.641434232,1.105606429,26.93188901,0.113491308,UNM water only
208,8.149513755,1.023989816,24.28851338,0.101999431,UNM water only
209,8.581407238,0.958082503,25.53957398,0.097548489,UNM water only
210,9.619906077,0.851165881,23.47728121,0.078835445,UNM water only
211,6.871198676,1.220417631,29.13960859,0.134708821,UNM water only
212,9.089119427,0.824813207,22.85186435,0.099565322,UNM water only
213,7.718333949,1.115409372,29.12864521,0.111021522,UNM water only
214,8.747144454,0.966933101,26.53981664,0.093312521,UNM water only
215,6.059118952,1.343045946,28.90658514,0.154879538,UNM water only
216,9.68698521,0.772180423,21.89688816,0.098271422,UNM water only
217,9.49315775,0.819060658,24.11121188,0.089212703,UNM water only
218,8.273917426,0.998630096,25.07173818,0.112920159,UNM water only
219,7.069627754,1.200030485,26.5724944,0.121006372,UNM water only
220,7.265828265,1.18719792,27.28891202,0.118829816,UNM water only
221,8.25661889,0.979059562,24.99736306,0.096383448,UNM water only
222,9.697315165,0.79574189,22.83200737,0.081878172,UNM water only
223,7.968924593,1.036407711,24.48962898,0.11470052,UNM water only
224,8.777909085,0.972409061,26.82697912,0.099822612,UNM water only
225,7.396440477,1.185651556,29.78961214,0.118201157,UNM water only
226,4.9915574,1.499190382,31.06270646,0.160440257,UNM water only
227,10.5919915,0.637266461,22.08895889,0.055135898,UNM water only
228,7.498779654,1.117562479,27.574406,0.11848414,UNM water only
229,8.87494695,0.856857016,24.05244034,0.101348635,UNM water only
230,9.56601673,0.811746292,24.98936569,0.083889611,UNM water only
231,8.693181391,0.903132511,23.80780194,0.098725539,UNM water only
232,9.816856775,0.826390333,23.46256969,0.08568726,UNM water only
233,6.672064382,1.201783306,27.99507515,0.114818554,UNM water only
234,8.093751913,0.934120714,25.32694171,0.095750179,UNM water only
235,8.145740549,1.075202698,28.80297651,0.108632845,UNM water only
236,10.26505438,0.719002515,24.19002787,0.068092078,UNM water only
237,11.41250924,0.538534225,20.05174443,0.050447282,UNM water only
238,9.164103314,0.911726899,24.43535623,0.095790364,UNM water only
239,9.295878356,0.787896521,23.98286153,0.081028579,UNM water only
240,9.935506639,0.77414683,24.24381277,0.070029616,UNM water only
241,8.157991248,1.02739814,25.8437658,0.098849532,UNM water only
242,5.740737674,1.373546719,28.02670791,0.152932007,UNM water only
243,8.209476974,1.019686523,25.23199947,0.109291394,UNM water only
244,7.860271861,1.065910231,28.38934602,0.098736486,UNM water only
245,7.801368213,1.034439225,25.05062308,0.11347727,UNM water only
246,5.88807892,1.330741695,29.85895615,0.128906567,UNM water only
247,6.927498721,1.158919432,27.69800496,0.125853067,UNM water only
248,9.621579263,0.774218544,22.60224003,0.095975416,UNM water only
249,10.49186486,0.635467505,21.66087448,0.060158851,UNM water only
250,8.702264254,0.977249496,26.18413327,0.097453462,UNM water only
251,10.2103026,0.743422187,23.5334848,0.078229376,UNM water only
252,7.898018972,1.037555345,26.07374598,0.113710515,UNM water only
253,6.320933773,1.29811463,28.64892599,0.136124933,UNM water only
254,6.672388159,1.249697917,28.45363051,0.136198389,UNM water only
255,8.940611343,0.903410252,24.65307267,0.097366895,UNM water only
256,7.362410155,1.102576677,28.53781561,0.104403363,UNM water only
257,9.412639893,0.805956874,22.81227155,0.097194777,UNM water only
258,9.155271248,0.899281701,23.9351359,0.090021545,UNM water only
259,10.94845026,0.575361278,20.3109048,0.061509752,UNM water only
260,9.553146606,0.805344679,22.3799171,0.086307218,UNM water only
261,8.940016692,0.891401815,24.3761985,0.087727457,UNM water only
262,4.611967192,1.530069038,31.71063409,0.161765847,UNM water only
263,7.092645573,1.1958587,28.07636779,0.127459547,UNM water only
264,9.254459383,0.881237956,26.50225611,0.088241566,UNM water only
265,9.335999588,0.852391596,23.39768195,0.093777145,UNM water only
266,7.173047243,1.179989107,27.75545509,0.124317933,UNM water only
267,10.94160348,0.572581862,20.47731454,0.053822111,UNM water only
268,7.433982749,1.103124091,26.90581841,0.115811815,UNM water only
269,10.97467718,0.584597288,20.91748662,0.066388705,UNM water only
270,9.117651849,0.913267676,25.41100703,0.094705487,UNM water only
271,10.32606821,0.685053089,22.01231125,0.070467557,UNM water only
272,7.590272014,1.115572483,25.30790672,0.120769095,UNM water only
273,2.843143973,1.837805444,32.99116931,0.175592743,UNM water only
274,9.077843972,0.855187405,25.11345632,0.088589262,UNM water only
275,8.312953224,1.0025458,25.69052517,0.102391904,UNM water only
276,10.42072814,0.676447365,21.84895913,0.062982043,UNM water only
277,9.638595472,0.770287936,23.00884784,0.080471714,UNM water only
278,9.600545774,0.759921735,22.68163429,0.081125607,UNM water only
279,9.38520541,0.882821925,26.47895603,0.089431243,UNM water only
280,10.28607281,0.716380157,23.73162094,0.075199234,UNM water only
281,7.284107902,1.09250886,27.81545882,0.118193272,UNM water only
282,8.198999754,0.993594856,25.21907423,0.10332908,UNM water only
283,8.568873538,0.920501082,23.62560812,0.110837462,UNM water only
284,7.142549207,1.198339914,26.00201091,0.11506328,UNM water only
285,8.453668103,1.000699211,26.02644438,0.108221787,UNM water only
286,5.018294854,1.418980808,30.7645974,0.160693389,UNM water only
287,7.403307363,1.107951531,25.10508137,0.130237542,UNM water only
